costat,curcd,datafmt,indfmt,consol,gvkey,fyear,act,at,lct,lt,pstkrv,seq,dvt,ni,capx,csho,derhedgl,dt,mkvalt,prcc_f
A,USD,STD,INDL,C,014760,2013,,,,,,,,,,65.6910,,,,4.880000000000
A,USD,STD,INDL,C,001743,2013,418.4850,1017.3260,309.6170,496.8650,0.0000,520.4610,3.2330,15.8110,26.3690,25.8290,,112.8450,869.9207,33.680000000000
A,USD,STD,INDL,C,001745,2013,864.7320,8034.8900,631.3760,6198.8220,116.3500,1836.0680,21.8730,161.9480,563.1660,46.9800,,,,
A,USD,STD,INDL,C,014763,2013,,,,,,,,,,71.1150,,,,16.010000000000
A,USD,STD,INDL,C,001773,2013,8585.7700,12060.8830,5301.9460,7876.0550,0.0000,4180.2320,0.0000,399.4200,116.1620,99.9360,,2226.1320,5421.5280,54.250000000000
A,USD,STD,INDL,C,001783,2013,19.7510,32.7680,7.2690,14.4740,0.0000,18.2940,0.4050,1.5510,4.3250,4.0470,,7.4810,25.2897,6.249000000000
A,USD,STD,INDL,C,014769,2013,,,,,,,,,,47.6870,,,,5.340000000000
A,CAD,STD,INDL,C,001790,2013,7.6380,9.8480,5.8900,31.3510,0.0000,-21.5030,0.0000,1.5090,0.0200,2.8370,,24.7120,0.6809,0.240000000000
A,USD,STD,INDL,C,001794,2013,2873.0000,12088.0000,1727.0000,7535.0000,0.0000,4553.0000,88.0000,683.0000,314.0000,77.0000,,2959.0000,7120.9600,92.480000000000
A,USD,STD,INDL,C,014770,2013,,,,,,,,,,133.3300,,,,8.030000000000
I,USD,STD,INDL,C,014771,2013,,,,,,,,,,15.0960,,,,18.150000000000
A,USD,STD,INDL,C,001820,2013,65.0340,77.9640,9.8920,11.3500,0.0000,66.6140,2.1030,3.2120,1.1280,7.5610,,0.0000,103.2833,13.660000000000
A,USD,STD,INDL,C,001823,2013,211.1980,491.2710,85.2370,319.7620,0.0000,171.5090,0.0400,27.2660,6.8680,17.8580,,200.3200,909.6105,51.000000000000
I,USD,STD,INDL,C,014772,2013,,,,,,,,,,6.3190,,,,20.799500000000
A,CAD,STD,INDL,C,001828,2013,1652.0000,16010.0000,1193.0000,9997.0000,0.0000,2860.0000,86.0000,418.0000,2361.0000,114.7720,-1.0000,6395.0000,5351.0297,46.660000000000
A,USD,STD,INDL,C,001837,2013,2895.0000,14550.0000,3118.0000,10937.0000,0.0000,3568.0000,222.0000,295.0000,731.0000,118.8890,,,5615.1275,47.230000000000
I,USD,STD,INDL,C,001860,2013,453.7600,3657.2660,156.8720,1449.8950,0.0000,2207.3710,0.0000,350.2240,745.2230,64.0570,,1263.2320,3525.6973,55.040000000000
I,USD,STD,INDL,C,014777,2013,,,,,,,,,,22.0720,,,,14.860000000000
A,USD,STD,INDL,C,001864,2013,148.8100,427.8680,32.1400,117.1150,0.0000,279.2810,0.0000,35.0730,3.5180,8.1000,-0.0390,75.7260,331.7760,40.960000000000
A,USD,STD,INDL,C,001878,2013,2835.0000,4595.0000,1071.5000,2333.5000,0.0000,2261.5000,0.0000,228.8000,64.2000,226.7000,12.7000,746.4000,11618.3750,51.250000000000
A,USD,STD,INDL,C,014779,2013,,,,,,,,,,61.8490,,,,8.020000000000
A,USD,STD,INDL,C,001891,2013,26201.0000,32268.1000,24732.8000,26078.2000,0.0000,6189.9000,823.8000,1405.8000,174.6000,482.6000,,17.5000,33231.8360,68.860000000000
I,USD,STD,INDL,C,001906,2013,,466.7280,,164.9940,0.0000,286.1010,11.8940,-9.4770,1.0230,21.9860,,105.7800,399.4856,18.170000000000
A,USD,STD,INDL,C,001913,2013,2091.8000,4610.6000,1554.1000,3118.4000,0.0000,1492.2000,112.0000,215.8000,129.2000,96.1780,,952.2000,4827.1738,50.190000000000
A,USD,STD,INDL,C,001919,2013,8356.8780,10474.6800,4821.4440,6185.5550,0.0000,4289.1250,0.0000,450.0730,97.3790,137.0890,,1506.9430,4606.1904,33.600000000000
A,USD,STD,INDL,C,001920,2013,3479.1000,6492.3000,2240.5000,5364.8000,0.0000,1110.1000,104.7000,-55.9000,197.3000,433.9000,-3.5000,2561.3000,7471.7580,17.220000000000
A,USD,STD,INDL,C,001926,2013,296.1810,953.2530,144.0160,577.3400,0.0000,375.9130,14.2900,59.5970,43.4720,25.5770,,405.6160,1134.8515,44.370000000000
A,USD,STD,INDL,C,001932,2013,15775.1330,44552.5690,13981.8260,33058.5000,0.0000,10995.1920,4327.4710,6470.4900,951.3480,939.0050,170.7120,17976.1600,,107.420000000000
A,USD,STD,FS,C,001949,2013,,549.4910,,384.2330,,138.7910,0.0000,,,,,,97.0460,7.170000000000
A,USD,STD,INDL,C,001949,2013,,549.4910,,384.2330,0.0000,138.7910,0.0000,5.0130,0.0000,13.5350,,350.6160,97.0460,7.170000000000
I,USD,STD,INDL,C,001951,2013,13.0200,14.3400,2.1430,2.1960,0.0000,12.1440,0.0000,-8.2520,0.0350,33.9820,,0.0000,51.6526,1.520000000000
A,USD,STD,INDL,C,001968,2013,127.1630,316.0580,98.0410,119.4950,0.0000,196.5630,9.9930,24.6170,14.3110,14.4120,,0.0000,785.4540,54.500000000000
I,USD,STD,INDL,C,001976,2013,11295.0000,27934.0000,4578.0000,10022.0000,0.0000,17713.0000,267.0000,1096.0000,2085.0000,438.0000,,4127.0000,24203.8800,55.260000000000
A,USD,STD,INDL,C,001979,2013,277.7740,376.8720,35.7530,45.5140,0.0000,331.3580,7.8560,44.8740,8.1870,30.2260,0.0000,0.0000,1774.2662,58.700000000000
I,USD,STD,FS,C,001982,2013,,1072.2700,,690.5460,,381.7240,14.9430,,,,,,,27.320000000000
I,USD,STD,INDL,C,001982,2013,,1072.2700,,690.5460,0.0000,381.7240,14.9430,36.5880,28.6070,14.9270,,0.0000,,27.320000000000
A,USD,STD,INDL,C,001988,2013,2465.7000,7819.8000,1927.4000,6428.5000,0.0000,1199.9000,73.8000,406.8000,378.3000,142.1180,,3547.8000,7341.8159,51.660000000000
A,USD,STD,FS,C,002002,2013,,35749.3330,,31123.1830,,4626.1500,3.7230,,,,,,2970.6245,28.730000000000
A,USD,STD,INDL,C,002002,2013,,35749.3330,,31123.1830,50.1600,4626.1500,3.7230,599.3270,38.5730,103.3980,,,2970.6245,28.730000000000
A,USD,STD,FS,C,002005,2013,,14084.2800,,13072.3040,,1011.9760,80.5340,,,,,,2631.1386,59.140000000000
A,USD,STD,INDL,C,002005,2013,,14084.2800,,13072.3040,0.0000,1011.9760,80.5340,150.5020,15.7590,44.4900,,,2631.1386,59.140000000000
A,USD,STD,FS,C,002019,2013,,374310.0000,,335776.0000,,37521.0000,745.0000,,,,,,39910.2150,34.940000000000
A,USD,STD,INDL,C,002019,2013,,374310.0000,,335776.0000,1562.0000,37521.0000,745.0000,2111.0000,609.0000,1142.2500,,,39910.2150,34.940000000000
